mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
CCRC-M108,Xylan-1/XG,0.523,0.718,0.277,0.7385,0.6675,0.499,0.411,0.7295,0.2775,0.7685,0.774,0.778
CCRC-M109,Xylan-1/XG,0.6015,0.7755,0.425,0.7825,0.743,0.603,0.5415,0.796,0.386,0.84,0.801,0.8175
CCRC-M119,Xylan-2,0.0015,0.0125,0.003,0.009,0.006,0.0035,0.003,0.006,0.003,0.0045,0.0095,0.0045
CCRC-M115,Xylan-2,0.024,0.0245,0.0105,0.034,0.0185,0.019,0.0195,0.0255,0.0165,0.0295,0.026,0.0175
CCRC-M110,Xylan-2,0.0085,0.008,0,0.0145,0.021,0.004,0.01,0.0125,0.0125,0.017,0.004,0.008
CCRC-M105,Xylan-2,0.025,0.039,0.025,0.0235,0.0335,0.026,0.0325,0.027,0.0305,0.032,0.0275,0.019
CCRC-M117,Xylan-3,0,0.001,0.0005,0,0.004,0,0,0.0025,0,0,0,0
CCRC-M113,Xylan-3,0.007,0.025,0.007,0.0155,0.0135,0.0245,0.015,0.0065,0.012,0.0165,0.021,0.013
CCRC-M120,Xylan-3,0.0125,0.016,0.012,0.026,0.0155,0.0135,0.012,0.0085,0.032,0.022,0.018,0.019
CCRC-M118,Xylan-3,0.0065,0.0085,0.0065,0.0555,0.0325,0.0255,0.0065,0.015,0.01,0.05,0.0385,0.0355
CCRC-M116,Xylan-3,0.008,0.0105,0.006,0.005,0.014,0.0115,0.0075,0.0155,0.011,0.005,0.0045,0.0075
CCRC-M114,Xylan-3,0.1545,0.2565,0.0875,0.384,0.2435,0.208,0.096,0.272,0.0935,0.4005,0.374,0.313
CCRC-M154,Xylan-4,0.2235,0.2685,0.2065,0.242,0.3235,0.266,0.2305,0.3305,0.206,0.233,0.2255,0.2555
CCRC-M150,Xylan-4,0.2535,0.277,0.172,0.3595,0.2855,0.276,0.1585,0.26,0.1985,0.418,0.349,0.35
CCRC-M144,Xylan-5,0.331,0.4665,0.238,0.4675,0.354,0.342,0.2795,0.287,0.2605,0.478,0.518,0.4455
