glycan,H7-01 Control,H7-02 Non inf control,H7-03 Non inf control,H7-04 Non inf control,H7-06 Infected vehicle,H7-08 Infected vehicle,H7-09 Infected vehicle,H7-10 Infected vehicle,H7-35 RaMH,H7-36 RaMH,H7-37 RaMH,H7-38 RaMH,H10-01 Non inf control,H10-02 Non inf control,H10-03 Non inf control,H10-04 Non inf control,H10-07 Infected control,H10-08 Infected control,H10-09 Infected control,H10-10 Infected control,H10-15 IL4,H10-17 IL4,H10-18 IL4,H10-19 IL4
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[HexNAc(?1-?)GlcNAc(b1-6)]GalNAc,1.085130419,0.661004265,1.055398341,0.991434641,1.051174488,0.823223688,1.223609662,1.107710764,0.909666424,1.131414162,0.617290814,1.101640635,1.00612196,0.603207469,0.869721174,1.036382345,0.612349932,0.425049083,0.574263963,0.92503954,0.769253773,0.596135045,0.278619451,0.863111165
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-?)Gal(b1-3)]GalNAc,1.066860778,1.360075864,1.337573847,1.413976879,1.561130142,1.343906006,1.214137494,1.651863718,1.414602006,1.842322369,2.847294469,0.968237837,2.679690838,1.434270244,0.886499239,1.008307303,1.206008013,1.690595345,1.468952578,0.883824158,2.061257251,1.742025632,1.234650612,1.380299661
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.488728962,0.980662853,0.665815066,0.412884011,0.440723972,0.553216067,0.488555574,0.559880964,0.513656845,0.458610895,0.753459313,0.472058359,0.364719763,2.245727737,0.573211816,0.851246086,0.85709155,1.990398551,1.781851172,0.471014686,0.587549586,0.912293551,2.805272856,0.558430027
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-6)GalNAc,0.449207648,0.343849372,0.466253579,0.682218532,0.412750696,0.281681518,0.476681229,0.286134006,0.374042454,0,0,0.289595751,0.104299675,0.176115713,0.658154978,0.544056919,0.1133155,0.180160469,0.240657187,0.516040029,0.003871402,0,0.058879106,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,1.788869507,0.811464714,2.211825909,2.027206889,1.052152462,1.589051052,1.924653839,2.026645923,2.058712603,1.228983625,0.895755958,2.047554156,2.000631837,1.254249151,1.873809263,2.112950198,0.846167154,1.020097577,1.33548225,1.809347028,0.766647774,1.774772034,1.197360393,1.781694782
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,0.193150466,0.154030371,0.193750952,0.306221651,0,0,0,0,0,0,0.008123214,0,0.033053818,0,0.308437675,0.196379242,0.110181665,0.088294667,0.0863359,0.225464868,0.008005191,0,0,0.027787516
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,1.57897021,1.238163998,1.97420311,2.021719749,2.228473784,1.251670901,1.928405666,2.189738078,1.951830413,2.27308337,1.499948225,1.224352296,2.057752332,1.213039001,1.451355864,1.429287587,1.184125097,0.996863562,1.247966525,1.460652163,1.203074181,1.478576442,1.484569159,1.463247481
Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.477937879,0.553248557,0.536810744,0.562107494,0.672329969,0.558060577,0.627505179,0.748319642,0.609915709,1.04122683,0.77552942,0.433925768,1.625177999,0.581907586,0.418264841,0.482184496,0.524984352,0.682234743,0.593998587,0.461345173,0.576278503,0.55642008,0.669188772,0.511270086
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.727979286,0.392276309,0.515689654,0.470427861,0.511034205,0.522027706,0.776123756,0.654822887,0.403243568,0.729172675,0.276559043,0.675885455,0.633265511,0.373935526,0.531317711,0.685795569,0.369112702,0.215955835,0.333395004,0.610500975,0.492264658,0.252758313,0.248292422,0.511574552
GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(?1-6)]GalNAc,1.900941088,2.573939798,2.379065463,2.681174156,2.738650593,2.917816394,1.728286228,2.590580762,2.6076799,2.718268301,6.3200719,1.901677623,5.400220633,2.925026472,1.603682035,1.858756038,2.290943349,3.398532228,2.965640129,1.571447174,5.091896891,4.054353353,2.209934311,2.78976073
