glycan,NG_Control_1,NG_Control_2,NG_Control_3,NG_Control_4,NG_SSSMuG_1,NG_SSSMuG_2,NG_SSSMuG_3,NG_SSSMuG_4,NG_SSSMuG_5,NG_SSSMuG_6
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.603789485,0.632261523,0.323469887,0.31878561,0.501789814,0.621959296,0.645523258,0.791694261,0.676182606,0.575373973
{HexNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.091218382,0.111563549,0,0,0.127194831,0.147942685,0.179707263,0.173766169,0.160259619,0.178536914
{HexNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.040285419,0.038541797,0,0.133257162,0.194779147,0.208255097,0.206372641,0.113797213,0.139862848
{HexNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.25382019,0.200405918,0.162189836,0.193920959,0.238484959,0.275567693,0.169148167,0.162475419,0.285553502,0.213165503
{HexNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.033963316,0.066578226,0.027624757,0.075668281,0.020575075,0.047906051
{Fuc(a1-2/3/6)}{Fuc(a1-2/3/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.029696402,0.050344009,0,0,0.0415234,0.054149219,0.042146329,0.024176383,0.050050159,0.037654052
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.396474981,0.312888526,0.280875412,0.497267999,0.275201287,0.314354766,0.500397598,0.189284622,0.292689367,0.237300056
{Fuc(a1-2/3)}{Fuc(a1-2/3)}GalOS(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.047402181,0.074392719,0.052767524,0.041308607,0.095000289,0.070931057,0.166378937,0.073718981,0.135403025,0.135022107
{Neu5Ac(a2-3/6/8)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.381682811,0.473774907,0.823272629,0.227301651,0.394351049,0.469904861,0.321906095,0.47071797,0.42979707,0.478334398
{Fuc(a1-2/3)}{HexNAc(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.391768382,0.406887837,0.271446732,0.310753381,0.283617229,0.334002776,0.209223202,0.231308492,0.358339318,0.256870481
