glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.161837048,0.182583104,0.18078676,0.158153951,0.780184589,0.880784017,0.868026494,0.831926648,1.253462097,0.91182264,1.176731315,0.89946168
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.6191068,0.565069146,0.667951974,0.603658544,4.637000684,4.965950243,4.556362128,4.330086802,5.21675292,4.862834897,6.177798594,4.192636252
{Gal(b1-4)GlcNAc(b1-3/4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.042530658,0.051027873,0.060686512,0.039287985,0.112179327,0.123435029,0.086052993,0.096688563,0.160963785,0.161975297,0.204696931,0.120520187
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.23144772,0.235767387,0.201017478,0.248098835,0.068489133,0.091453162,0.074360921,0.076776397,0.035824997,0.030643626,0.027700294,0.031823701
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.384410418,0.462085942,0.487240007,0.320529087,0.408069774,0.231379683,0.316143297,0.333512357,0.325265462,0.264480348,0.234668754,0.277446667
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,9.268227303,9.251656807,7.950212281,9.51938822,4.672088824,4.953185819,4.789666341,4.4238938,2.028604234,1.787641873,2.034594399,1.573355792
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.218586494,0.150705628,0.171124795,0.177731112,0.123873234,0.12320249,0.148025906,0.091062224,0.054338656,0.057241159,0.089534033,0.044836137
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.027523936,0.05525306,0.042692993,0.036438793,0.006335097,0.013145762,0.004176781,0.010054119,0.007285958,0.010538011,0.008193756,0.005699953
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,11.47669093,10.97184605,10.26926377,9.144162956,3.865954142,3.118161986,3.646554327,3.532546696,1.452323232,1.032935182,1.620941287,1.244716892
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.648229887,0.77169087,0.677516357,0.688207672,0.212271263,0.140810279,0.144985975,0.140107678,0.032566264,0.006743225,0.040103148,0.014653493
