glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0.3454128,0.1982185,0.0816244,0.3946911,0.2979191,0.0226059,0.0979331,0.080611,0.1984578,0.3138338,0.3230798,0.1417696,0.4087352,0.1735293,0.0387429,0.2073004,0.0927253,0.1622022,0.2869415,0.1322699,0.1396048,0.2038133,0.0708283,0.1537388,0.2692114
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0126526,0.0194783,0.021679,0.0970158,0.0778096,0.1429347,0.1000025,0.0144678,0.0262309,0.0182693,0.0158261,0.0619168,7.36E-03,0.1066442,0.1634973,0.0126016,0.0108293,0.0273139,0.0130058,0.0208783,0.0123105,0.0399694,0.0399852,0.0314807,0.0253061
H3N1S2,0.0245686,0.0243334,0.0121089,0.0426952,0.0201967,0.0267621,0.0140801,6.95E-03,0.0154953,0.0325638,0.1024857,0.1688803,0.0165138,0.082701,0.1477204,0.0205951,0.015293,0.0218688,0.0254002,0.0368829,0.0248925,0.090386,0.0180105,0.0485826,0.0354028
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.3389522,0.3417005,0.1894792,0.2865026,0.2284486,0.1526417,0.3085187,0.2304649,0.3860985,0.3349371,0.3095411,0.1812815,0.6820857,0.3509114,0.3028771,0.2364253,0.2010227,0.4183798,0.3174218,0.2836232,0.529286,0.3543129,0.3133433,0.4529415,0.3077332
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,6.1856115,6.3788441,2.9603269,1.7163533,7.0248378,5.2886947,3.969684,6.24542,6.3347875,6.3651003,7.9543311,5.3206437,3.0075591,7.5875769,8.2808206,4.0283745,5.8244744,5.6388679,6.4983578,7.3038554,2.0070339,9.425204,3.40172,4.503602,6.56694
H4N2F2,0.0256661,0.0108412,0.01376,0.0205478,0.0290063,7.53E-03,0.0230644,0.029838,0.0281568,0.0198813,0.0285902,0.026338,0.0159867,0.0278399,5.17E-03,0.0229459,0.046517,0.0515616,0.0306484,0.0355081,0.0218568,0.0447116,0.0398581,0.0380138,0.0410776
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.5164803,0.2852595,0.2181652,0.0957016,0.1453947,0.432209,1.458567,0.6868262,0.2841004,0.4546242,0.0768697,0.3521014,0.1711302,0.6392781,0.1145274,0.5878311,1.3395369,0.3381289,0.5035148,0.295226,0.0849353,0.0833588,1.6174408,0.1969917,0.4939642
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0270389,0.0172781,0.0128352,0.0529042,0.0203352,0.0117372,0.0131717,0.0139549,0.0112952,0.0258197,0.0195928,0.0191335,6.27E-03,0.0230871,0.0158624,0.0201298,0.0161374,0.0100665,0.0164395,0.0148269,3.07E-03,0.0137496,6.54E-03,9.85E-03,0.0157536
{Fuc(a1-2/3/4)}{GalNAc(?1-3/4)}Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.016436,0.0262291,0.2380001,9.39E-03,7.90E-03,9.54E-03,0.0179748,3.57E-03,3.95E-03,0.0225883,0.0147595,0.05842,0.0169391,3.31E-03,3.96E-03,6.98E-03,2.33E-03,2.68E-03,0.0325941,0.0262657,5.01E-04,0.0147657,0.1548297,0.0292163,0.0319905
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.023487,0.0250153,0.0836941,0.0925878,0.0379362,0.073843,0.0950661,0.1165232,0.2168224,0.0498042,0.1053625,0.0576685,0.1059416,0.0957018,0.1036335,0.0372632,0.054934,0.2244419,0.0223137,0.0456301,0.1550614,0.0547894,0.1033048,0.2180827,0.0351172
