glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1701491,0.0696221,0.0705587,0.0275088,0.0706561,8.63E-03,0.0875941,7.96E-03,0.0370863,0.1311646,0.0116687,0.0435812,0.0244533,0.1076261,0.0302544,0.1313185,8.78E-03,0.0659519,0.0964716,0.0249787,0.0336999,0.0536163,0.1049016,0.0524878,0.1293207
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.09E-03,0.0204311,2.55E-03,3.85E-03,1.20E-03,2.71E-03,0.0250076,0.0250806,7.67E-04,0.0116625,0.0540538,1.59E-03,0.0488829,1.97E-03,0.0341151,1.71E-03,0.0187272,7.66E-04,0.0158596,0.0473572,0.0266524,9.89E-03,5.95E-03,2.44E-04,0.0209284
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.047681,0.0386242,0.0207943,7.10E-03,0.0183131,0.0275414,0.0956961,0.0586264,1.46E-03,0.0821912,0.0612265,0.0666246,0.0752675,1.89E-03,0.0668268,0.1021847,0.0613459,0.0207523,0.0573855,0.0473572,0.0350619,0.0129461,0.04514,1.84E-03,0.0832605
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0439225,0.0225305,3.36E-03,3.78E-03,9.59E-04,0.0410335,0.0874908,0.081515,3.42E-03,0.0348192,0.0471243,0.0202234,0.0926254,4.47E-03,0.0484834,0.0333266,0.0613459,0.0496414,0.0279724,0.0162237,0.0158595,1.64E-03,6.58E-03,0.0330868,0.070482
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,6.2917744,5.9696966,5.4467977,8.5334705,5.6020022,6.9330819,8.3391718,7.5392896,7.1306823,8.0874159,6.6338329,7.5680136,6.700561,7.1952981,8.5789264,9.996958,7.9412426,9.2379473,8.6319002,8.0136494,8.4444527,9.1997024,9.5108666,8.4203637,7.4602004
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0911166,0.1250062,0.0611905,0.1087416,0.0446795,0.096847,0.1237589,0.112751,0.055607,0.0972012,0.1322945,0.1703539,0.0977825,0.0530545,0.2150079,0.082668,0.0734832,0.0576529,0.0867295,0.1749249,0.0975123,0.0505587,0.0770917,0.0370678,0.0835435
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0207891,0.026349,0.0114487,4.72E-03,0.0239594,7.01E-03,0.0579549,0.0607853,0.0436896,0.0281094,0.0290942,0.0207599,0.0327867,5.61E-03,0.0463156,0.0560425,0.0386892,0.0456945,6.65E-03,0.0179166,8.92E-03,6.52E-03,9.84E-03,0.0427707,3.29E-03
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.9103372,0.747458,0.6066912,0.2238188,1.6009119,0.7594983,1.0260074,0.5740021,1.0326603,0.7625623,0.5041724,0.6184982,1.1669932,0.9984349,0.6786316,0.5606573,0.878336,0.8369801,0.8794598,0.3726823,0.3822742,1.2265867,1.2390357,1.0143568,0.9872697
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1123237,0.0854953,0.0576738,0.0128547,0.1023683,0.0662977,0.1337284,0.1744121,0.1062923,0.1070137,0.0767638,0.0936174,0.1099105,0.0544857,0.1531214,0.245693,0.1746771,0.1171928,0.050886,0.0920821,0.0639506,0.0646244,0.0622589,0.1389329,0.079876
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.70E-03,0.0179445,1.55E-03,6.24E-03,0.0205859,3.85E-03,0.0281376,0.0169838,0.029634,0.0133723,0.0144348,1.80E-03,0.0143246,0.0266271,0.0349032,1.28E-03,0.0146771,0.024697,8.27E-03,0.0180028,3.56E-03,8.30E-04,3.50E-03,0.0239338,0.0170677
