glycan,healthy1,healthy2,healthy3,healthy4,healthy5,infected1,infected2,infected3,infected4,infected5
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)]GalNAc,0.350624439,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]GalNAc,0.40067577,0.56393145,0,0.741633095,0.54848317,0.296101406,5.779799849,4.91203088,1.151140721,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.283752093,0.519225092,0,0.404164476,0.357625128,0.495382261,5.13912815,4.721061621,0.797346637,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)]GalNAc,2.300906794,0,0,0,0,6.078782709,0,0,8.986470777,0
Hex3HexNAcNeuAc1NeuGc1,0,0,0,0,0,0,0.627921284,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)[Neu5Gc(a2-3)Gal(b1-3/4)GlcNAc(b1-3/6)]GalNAc,0,0,0,0,0,0,0.821322032,0,0,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0.854881575,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.272743083,0.373318164,0,0,0,2.209516018,1.688290315,3.414581447,0.90867213,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,9.89293665,0.2230546,0,0,0,2.574936211,0,0,1.376894959,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)]GalNAc,0.233742399,0.358169642,1.850109804,0.471874844,0,0,2.634186076,2.253977462,0.777196481,0
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.78087354,6.374698521,7.284198558,6.019097236,5.002259038,3.616845846,4.296650595,4.809767736,6.067718255,7.530841583
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.810045027,3.416073251,7.128781119,3.981876857,2.791032197,2.45386064,3.381134245,2.935668715,4.33142792,2.612310768
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.758167148,2.82306088,4.877537096,1.949934426,2.334284515,1.309325154,2.078807967,3.223257437,2.274645431,12.85947355
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,13.60541986,19.38914254,14.0074579,22.87147671,22.50450559,12.50927255,22.66910904,10.69342272,11.11581269,7.265084502
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,18.04675862,20.48749773,23.31017394,25.64326022,18.16585506,18.50749436,16.65335419,19.93735078,20.10958706,22.5612113
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.087450664,7.073582954,0,5.402568853,21.09949908,0,14.09589791,4.528026016,0,20.6444846
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,31.59702446,21.45424334,27.51670059,21.56729663,17.37815792,32.68180419,23.64186221,25.79792442,35.85750935,16.59747104
Neu5Ac(a2-3/6)GalNAc(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,2.863168104,0,0,0,5.208685246,0,0,7.08791764,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,25.31426068,16.11853268,15.8751508,12.56448907,10.72440659,23.71271202,13.18318385,28.07458217,13.15538165,9.929122651
