glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D27,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.412675,0.2549,0.490209,0.259628,0.480333,0.444702,0.239726,0.507038,0.270045,0.25502,0.297449,0.343471,0.303272,0.321425,0.523951,0.267052,0.231228,0.27276,0.507984,0.24733,0.431571,0.219327,0.31006,0.590095,0.57821,0.578748,0.301352,0.483544,0.601632,0.675189,0.631508,0.799548,0.461402,0.438167,0.738914,0.770666
Fuc(a1-3)[GalNAc(b1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.195114,0.133982,0.148808,0.292229,0.200484,0.109743,0.137784,0.127567,0.184498,0.234184,0.144201,0.105329,0.205612,0.162495,0.0637597,0.19041,0.172362,0.0285618,0.0928218,0.346254,0.232616,0.0441739,0.311386,0.134333,0.10945,0.0773752,0.206237,0.237701,0.078789,0.0912416,0.119487,0.219271,0.122942,0.0789751,0.0195013,0.0958122
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0876015,0.788615,1.63986,0.538989,0.807565,0.805115,0.619208,2.11004,0.873963,0.876087,1.10969,1.08867,0.602481,0.82891,0.853814,1.80871,0.876135,0.829778,0.87405,0.699552,0.769295,0.376511,1.38543,0.790826,1.13333,2.05128,0.786061,1.17351,2.5574,2.03105,2.04528,1.00027,2.52389,0.801505,3.07492,2.25939
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.914654,0.419101,0.617051,0.33605,0.372629,0.2995,0.264847,1.23748,0.400895,0.538252,0.595632,0.342961,0.278586,0.444958,0.559404,0.825884,0.402456,0.403879,0.489065,0.369061,0.378355,0.215692,0.611033,0.357418,0.539462,0.885021,0.502155,0.537628,1.32907,1.72741,0.852317,0.79767,0.72113,0.321466,1.83815,1.63881
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0540828,0.0334207,0.0614961,0.0327076,0.0715643,0.179668,0.0350527,0.053446,0.0682789,0.0521191,0.19688,0.171905,0.045238,0.127093,0.0398214,0.0695727,0.114233,0.245764,0.131948,0.131246,0.159792,0.0309814,0.0379712,0.414019,0.088135,0.057853,0.0649958,0.121465,0.0841081,0.0381732,0.0732452,0.111519,0.0632332,0.169713,0.0485938,0.0603161
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.103555,0.0542095,0.0767638,0.182318,0.092472,0.125387,0.189303,0.120184,0.0945709,0.0767225,0.251252,0.35519,0.04929,0.12572,0.0885839,0.0754628,0.120639,0.191127,0.113728,0.168464,0.133399,0.0762697,0.0619704,0.684316,0.175257,0.117662,0.0658441,0.162424,0.118787,0.0357781,0.117841,0.194463,0.0890569,0.161254,0.0526676,0.144032
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.209404,0.255381,0.458168,0.238348,0.436343,0.336252,0.266004,0.637701,0.247249,0.212522,0.219829,0.447147,0.265947,0.397678,0.582738,0.389193,0.195871,0.294369,0.442942,0.305119,0.381788,0.233613,0.340711,0.332438,0.477169,0.501287,0.296022,0.449743,0.622382,0.818702,0.549058,0.755931,0.472529,0.463306,0.946316,0.950717
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.7181,1.57492,2.305,0.736604,1.17523,1.44871,0.745809,0.986058,1.25913,1.48981,2.00734,0.990125,1.10486,2.49273,0.459826,1.95076,3.54044,1.57042,2.75429,2.29939,1.28055,0.855897,1.1598,0.764599,0.532666,2.23817,1.53123,2.51993,1.7141,2.13607,1.50732,2.61938,2.32536,2.49306,1.93677,0.754059
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.259933,0.270876,0.337971,0.225258,0.230432,0.45011,0.228485,0.289055,0.244512,0.209127,0.371503,0.338647,0.250611,0.206134,0.146538,0.408382,0.27621,0.19995,0.195381,0.592411,0.246119,0.0928778,0.257429,0.355206,0.226439,0.254997,0.183889,0.480278,0.413869,0.520035,0.342441,0.354137,0.509383,0.621166,0.401476,0.223861
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.3373,1.28655,0.697574,2.97581,0.81482,0.573704,1.96391,1.05168,1.54278,1.16179,0.273095,0.814295,1.95614,0.921338,0.903355,0.456967,0.583732,1.35771,0.973717,0.573181,1.53679,3.01241,0.789168,0.73987,0.84146,1.05159,1.05096,0.450395,0.40691,0.146882,0.412472,0.402967,0.28167,0.399827,0.162615,0.272673
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2447,0.134334,0.182001,0.2076,0.163823,0.157046,0.236576,0.266753,0.197794,0.103473,0.0964682,0.124387,0.17893,0.127831,0.34425,0.166714,0.135566,0.264265,0.216266,0.0851374,0.267377,0.160873,0.197151,0.130542,0.259645,0.158503,0.14892,0.176424,0.165353,0.259416,0.114442,0.224085,0.134443,0.182595,0.28173,0.285339
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.26421,2.08602,2.28643,2.02644,2.42983,2.70048,1.95142,1.28357,2.76112,2.63957,2.50653,2.80876,2.85113,2.9145,2.37611,1.21176,2.86719,0.780612,2.15986,2.30912,2.20087,1.75462,2.35035,2.49062,2.23771,2.15484,2.57475,1.76055,1.51035,0.612193,1.55891,1.54543,1.42693,1.78361,0.676158,0.93805
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.478191,0.267856,0.275078,0.343849,0.188179,0.309393,0.439033,0.249055,0.354326,0.2935,0.207274,0.422871,0.430838,0.323094,0.525766,0.395555,0.305772,0.308165,0.306751,0.399251,0.285221,0.19521,0.466736,0.436373,0.277395,0.583226,0.317868,0.245475,0.354041,0.238381,0.310002,0.263897,0.311005,0.273341,0.192349,0.246768
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.149331,0.132852,0.213991,0.103562,0.169635,0.16102,0.0911523,0.241465,0.0852672,0.0719835,0.110591,0.109567,0.0985342,0.139125,0.200232,0.129069,0.0563174,0.0964376,0.166986,0.114876,0.0750215,0.093673,0.123649,0.152934,0.19141,0.163827,0.128147,0.228052,0.393721,0.467362,0.361044,0.425803,0.196289,0.335343,0.497555,0.431371
