glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,0.929603476,0.256451133,0.626775034,0.151478001,1.151036555,0.612360779,0.132166738,0.61285303,1.283088595,0.135721936,0.981508657,0.248658293
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.573131633,0.027467656,0.126308049,0.020281823,0.120292646,0.048593564,0.095343966,0.073700073,0.24554133,0.049623566,0.068927362,0.060768145
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,0.492515888,0,0,0,0,0,1.214891748,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.635190692,1.003849842,1.811921249,1.766336716,0.653702577,0.2514795,0.09138152,1.966236362,0.803857571,0.254976824,0.586910255,0.033598013
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,0.202691343,0.020281823,0.023908186,0.017003809,0.284680348,0.03307608,0.267451479,0.034710051,0.067957731,0.052405275,0.225012452,0.141157071
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.229913434,0.010560502,0.085097264,0.012875581,0.040766723,0.037277702,0.014868249,0.016091387,0.08209583,0.05424106,0.073620099,0.05520296
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,1.841601058,0.396706679,1.664980859,0.532848857,0.988153091,0.755066713,0.491153139,0.886961019,2.734457829,0.614660864,0.904245744,0.841239187
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,0.622936247,0,2.203509459,0,1.415758457,1.450815025,0.752707337,0,1.561613454,0,0.818967177,0.926904365
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.089049679,0.919130971,0.568343918,0.798669495,1.654445977,1.308283205,0.967972328,1.356733139,0.965859597,1.355928341,1.66494022,3.401466697
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(?1-?)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.131100029,0.050591341,0.166624467,0.033659552,0.174094297,0.101094411,0.04437766,0.111543653,0.549680752,0.028528666,0.196483139,0.119937863
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)]GalNAc,0.021199269,0.028884295,0.057289597,0.058379877,0.048081226,0.040669518,0.118876936,0.061733506,0.138616241,0.453095341,0.112324446,0.093285823
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.863829024,0.23581493,0.207609681,0.112911932,0.31247725,0.250832647,0.12709104,0.090897394,0.284591782,0.042790725,0.134638892,0.168163707
