glycan,Az_1,Az_2,Az_3,Az_4,Sp_1,Sp_2,Sp_3,Sp_4,Ge_1,Ge_2,Ge_3,Ge_4,Se_1,Se_2,Se_3,Se_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.063150527,0.114442111,0.171659288,0.304270843,0.615290263,0.343252739,0.05476787,0.407040983,0.234719656,0.20441766,0.182691119,0.338043345,0.847395173,1.49219486,0.59861269,1.147467556
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.039075068,0.091365638,0.077470436,0.02659291,0.715193459,0.798650588,0.624523254,0.650419991,0.437723039,0.329739848,0.335417382,0.790175664,0.493201605,0.252428787,0.313361685,0.237990644
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.014294192,0.715021414,0.963694229,0.956298476,25.85550892,27.33615314,28.48319905,34.64577317,16.21791099,21.43676695,16.47668082,20.24201246,16.6332211,7.321891622,12.8373188,10.15452925
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.480096171,0.367504243,0.445338908,0.377379548,6.946046629,8.663427971,6.631384103,7.69099935,7.004329398,6.571881677,5.540548732,7.118040573,4.996072334,3.741109554,4.892231991,4.08538782
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.153640557,2.261198805,2.215063419,2.231668276,1.526530832,1.430680742,1.471201597,1.339899715,1.680157961,1.505302331,1.178108567,1.627333757,1.874520202,2.591340535,2.219470516,2.586431848
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.094426885,0.104744082,0.080383493,0.105695918,0.741976727,1.341216629,0.969396211,1.19254423,0.446397575,0.370903167,0.563786053,0.79220246,0.484349036,0.304751715,0.569153896,0.419080394
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.105268993,0.062647653,0.157769493,0.066831034,0.251711403,0.257334831,0.218309791,0.260694064,0.263261678,0.268570537,0.415699141,0.389837778,0.614867686,0.824662754,0.771895311,0.765223269
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.062253811,0.029013493,0.038714109,0.04148058,0.463084316,0.319417386,0.348828824,0.334343567,0.323563695,0.260907351,0.277301406,0.314624049,0.112026616,0.142400914,0.131241426,0.168701266
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.014130066,0.042902359,0.067802463,0.032609011,1.05156565,1.578089638,1.582604702,1.277788204,0.49098574,0.447770248,0.47675528,0.695086263,0.544591905,0.248260758,0.425554755,0.306900006
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.022825492,0.023936132,0.05577027,0.03330653,0.703312593,1.312002814,0.48501138,0.915551744,0.310324534,0.334060449,0.302350079,0.485123321,0.373563292,0.121358438,0.402786602,0.27054525
