glycan,NG-124 Li,NG125 Li,Adult NG Hexa (or HA) Li,Adult NG HexaNeu3 (or HAN3) Li,Adult NG Hexa (or HA) Stv,Adult NG HexaNeu3 (or HAN3) Stv,Fibroblast Hexa (or HA) Non,Fibroblast HexaNeu3 (or HAN3) Non,Fibroblast Hexa (or HA) Li,Fibroblast HexaNeu3 (or HAN3) Li,Fibroblast Hexa (or HA) MLSA-1,Fibroblast HexaNeu3 (or HAN3) MLSA-1,Fibroblast Hexa (or HA) Stv,Fibroblast HexaNeu3 (or HAN3) St
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,2.025055072,0.467237006,2.685821612,0.558271023,2.310968692,1.995179753,1.641403001,1.790735316,1.51121086,1.47097331,1.252944878,1.496271532,1.642962692
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.332618822,1.733268362,1.618391098,3.138888602,1.38807035,2.488171618,2.425611519,0,2.114019139,2.097078277,1.184678631,1.35729282,1.641079952,1.971984252
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,5.277341248,0,0.871897543,0,1.036314913,0,0,0.346579807,0,0.238862548,0.062878449,0.119381224,0,0.329753685
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.765186868,1.226294452,1.549224441,1.426355338,1.789390941,1.250820008,1.217862089,1.211567107,1.269256203,0,1.044226844,1.602997883,1.254456218,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.239846956,0.699476605,0,0.992986081,0,0,0.518680203,0,0.421568052,0,0.167645912,0,0.489366367
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,1.48385932,0.957921266,0,1.152577782,0,2.159088719,0,2.33139682,0,1.179621314,1.592667236,2.222675886,1.971937675
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,,0,5.966812092,5.249234381,4.830782701,0,0,0,0,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,3.780240283,1.539758126,5.003614658,1.979347009,5.12663455,0,0,0,2.998884463,4.269621934,3.491010193,4.494092928,3.980379645
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.08618498,0.716706678,0.649942781,0.327930748,0.692627604,0.63250497,0.927968252,0.723515274,0.76065819,1.005538891,1.384065959,1.060883365,0.644240377,0.656497037
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.030221132,1.553384939,1.386970428,0.753264743,1.787930766,0.719114484,1.221892468,0.61913837,1.789049211,1.430536697,2.060238525,2.530742303,1.439835026,1.127731943
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.343139245,0.903239379,0.746922138,0,0,0.573280918,0,0.312084701,0.66907778,0.412661778,0.470350201,0.72578544,1.099837185,0.358785839
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.454538619,2.088304788,0,2.413047507,0,0.167690698,0.577838444,0.15886084,0.441119916,0,0.392610963,0.156093007,0.718053697
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,2.114241961,2.685925542,3.995180372,2.33357336,3.558093289,2.972154052,2.511255506,3.340076686,2.174552749,2.686718071,3.008147855,4.213148761,2.082615135
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.244309516,0,0.620686816,,0,2.087517352,0,1.159179943,1.243106705,0.635331013,0.830557763,1.640825608,0
